,Unnamed: 0,avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure,age,gender,marital_status,department_D00-AD,department_D00-ENG,department_D00-FN,department_D00-IT,department_D00-MN,department_D00-MT,department_D00-PD,department_D00-PR,department_D00-SP,department_D00-SS
35,37,159.0,0.0,0.552437,2,0.0,1,0.467246,1,3.0,25,1,0,0,0,0,0,0,0,0,1,0,0
36,39,233.0,0.0,0.965382,5,0.0,2,0.962314,1,5.0,22,1,0,0,0,0,0,0,0,0,0,0,0
37,40,239.0,0.0,0.927427,5,0.0,2,0.783737,1,5.0,24,1,0,1,0,0,0,0,0,0,0,0,0
38,41,257.0,0.0,0.990937,5,0.0,1,0.751387,1,6.0,24,1,0,0,0,0,0,0,0,0,0,0,1
39,42,260.0,0.0,1.0,5,0.0,1,0.808455,1,5.0,23,1,0,0,0,0,0,0,0,0,0,0,0
40,44,308.0,0.0,0.736991,7,0.0,1,0.0807958,1,4.0,49,1,1,0,0,1,0,0,0,0,0,0,0
41,45,239.0,0.0,0.906676,4,0.0,1,0.737457,1,5.0,25,1,0,0,0,0,0,0,0,0,0,0,1
42,46,306.0,0.0,0.830333,6,0.0,3,0.0674799,1,4.0,30,1,1,0,0,0,0,0,0,0,0,0,1
43,47,141.0,0.0,0.462141,2,0.0,1,0.435337,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
44,49,143.0,0.0,0.512455,2,0.0,2,0.484244,1,3.0,25,1,0,0,0,0,0,0,0,0,0,1,0
45,50,270.0,0.0,0.915772,5,0.0,2,0.871095,1,5.0,23,1,0,0,1,0,0,0,0,0,0,0,0
46,51,261.0,0.0,0.832946,6,0.0,1,0.115881,1,4.0,42,1,1,0,0,0,0,0,0,0,0,1,0
47,52,301.0,0.0,0.737223,4,0.0,1,0.464158,1,5.0,25,1,0,0,1,0,0,0,0,0,0,0,0
48,53,296.0,0.0,0.87755,7,0.0,1,0.136835,1,4.0,33,1,1,0,0,0,0,0,0,0,0,0,1
49,54,271.0,0.0,0.891916,5,0.0,1,0.179432,1,4.0,24,1,0,0,0,0,0,0,0,0,0,0,1
50,55,244.0,0.0,0.787106,6,0.0,1,0.113983,1,4.0,46,1,1,0,0,0,0,0,1,0,0,0,0
51,57,290.0,0.0,0.808025,6,0.0,2,0.059197,1,4.0,34,1,1,0,0,1,0,0,0,0,0,0,0
52,58,290.0,0.0,0.770248,6,0.0,2,0.0903428,1,4.0,46,1,1,0,1,0,0,0,0,0,0,0,0
53,59,249.0,0.0,0.997662,4,0.0,1,0.805852,1,5.0,22,1,0,0,0,0,0,0,0,0,0,1,0
54,60,151.0,0.0,0.506563,2,0.0,2,0.35549,1,3.0,23,1,0,0,1,0,0,0,0,0,0,0,0
55,61,225.0,0.0,0.893351,4,0.0,2,0.814574,1,5.0,23,1,0,0,0,0,0,0,0,0,0,0,1
56,62,253.0,0.0,1.0,5,0.0,2,0.852952,1,5.0,23,1,0,0,1,0,0,0,0,0,0,0,0
57,63,269.0,0.0,0.932009,6,0.0,2,0.0633131,1,4.0,47,1,1,0,0,1,0,0,0,0,0,0,0
58,64,274.0,0.0,0.944104,6,0.0,1,0.159258,1,4.0,25,1,0,0,1,0,0,0,0,0,0,0,0
59,65,155.0,0.0,0.536342,2,0.0,1,0.43599,1,3.0,36,1,1,0,0,0,0,0,1,0,0,0,0
60,66,255.0,0.0,0.917034,7,0.0,1,0.150519,1,4.0,33,0,1,0,0,0,0,0,0,0,0,1,0
61,67,149.0,0.0,0.607982,6,0.0,1,0.471637,1,4.0,31,1,1,0,0,0,0,0,0,1,0,0,0
62,68,271.0,0.0,0.64205,3,0.0,1,0.418694,1,4.0,22,1,0,0,0,0,0,0,0,0,0,0,1
63,69,268.0,0.0,0.922942,6,0.0,2,0.0650439,1,4.0,22,0,0,0,1,0,0,0,0,0,0,0,0
64,71,294.0,0.0,0.587699,3,0.0,1,0.76039,1,4.0,22,1,0,0,0,0,0,0,0,0,0,0,0
65,72,293.0,0.0,0.857715,6,0.0,1,0.141662,1,4.0,40,1,1,0,0,0,0,0,0,0,0,1,0
66,73,309.0,0.0,0.908443,7,0.0,1,0.1035,1,4.0,48,1,1,0,1,0,0,0,0,0,0,0,0
67,74,235.0,0.0,0.957642,5,0.0,1,0.725715,1,5.0,22,1,0,0,0,0,1,0,0,0,0,0,0
68,75,158.0,0.0,0.546333,2,0.0,1,0.391487,1,3.0,24,1,0,0,0,0,1,0,0,0,0,0,0
69,76,273.0,0.0,0.734583,3,0.0,1,0.520728,1,6.0,22,1,0,0,0,0,0,0,0,0,0,1,0
70,77,277.0,0.0,0.9496,2,0.0,2,0.723212,1,3.0,28,0,0,0,0,0,1,0,0,0,0,0,0
71,78,290.0,0.0,0.859528,7,0.0,1,0.127906,1,4.0,38,1,1,0,0,0,0,0,0,0,0,0,1
72,79,267.0,0.0,0.801303,5,0.0,2,0.858963,1,5.0,25,1,0,0,0,0,0,0,0,0,0,1,0
73,80,249.0,0.0,0.997918,4,0.0,2,0.811695,1,6.0,24,1,0,0,0,0,0,0,0,0,0,1,0
74,81,127.0,0.0,0.568392,2,0.0,1,0.455544,1,3.0,23,1,0,0,0,0,1,0,0,0,0,0,0
75,82,245.0,0.0,0.904587,4,0.0,1,0.724119,1,6.0,23,1,0,0,0,0,0,0,0,0,0,0,1
76,83,198.0,1.0,0.571508,5,0.0,1,0.63736,1,5.0,25,1,0,1,0,0,0,0,0,0,0,0,0
77,84,160.0,0.0,0.420976,2,1.0,1,0.375963,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
78,85,131.0,0.0,0.465087,2,0.0,1,0.465453,1,3.0,23,1,0,0,0,1,0,0,0,0,0,0,0
79,86,150.0,0.0,0.601995,2,0.0,1,0.44277,1,3.0,25,1,0,0,0,0,0,0,0,1,0,0,0
80,87,146.0,0.0,0.484583,2,0.0,1,0.471085,1,3.0,24,1,0,0,0,0,0,0,0,0,0,1,0
81,88,254.0,0.0,0.85053,6,0.0,1,0.0850537,1,5.0,41,1,1,0,0,0,0,0,0,0,0,1,0
82,89,152.0,0.0,0.506971,2,0.0,2,0.387467,1,3.0,22,1,0,0,0,0,0,0,1,0,0,0,0
83,90,151.0,0.0,0.438951,2,0.0,1,0.389023,1,3.0,22,1,0,0,0,0,0,0,0,1,0,0,0
84,91,135.0,0.0,0.540937,2,0.0,1,0.312896,1,5.0,22,1,0,0,0,0,0,0,0,0,0,0,1
85,92,236.0,0.0,0.896563,5,0.0,1,0.765251,1,6.0,25,1,0,0,0,0,0,0,0,1,0,0,0
86,94,145.0,0.0,0.502312,2,0.0,1,0.405199,1,3.0,49,0,1,0,0,0,0,0,0,0,0,0,1
87,95,160.0,0.0,0.508932,2,0.0,1,0.407259,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
88,96,279.0,0.0,0.79986,6,0.0,1,0.0985616,1,4.0,54,1,1,0,0,0,0,0,0,0,0,0,1
89,97,274.0,0.0,0.878575,5,0.0,2,0.79105,1,6.0,28,0,0,0,0,0,0,0,0,0,0,1,0
90,98,296.0,0.0,0.677557,2,0.0,2,0.467873,1,5.0,25,1,0,0,0,0,0,0,0,0,0,0,1
91,99,259.0,0.0,0.848992,6,0.0,2,0.178243,1,5.0,52,0,1,0,0,0,0,0,0,0,0,1,0
92,100,164.0,0.0,0.714642,4,0.0,1,0.524464,1,2.0,28,0,0,0,0,0,0,0,0,0,0,0,1
93,101,253.0,0.0,0.83395,6,0.0,2,0.145414,1,4.0,44,0,1,0,0,0,0,0,1,0,0,0,0
94,102,297.0,0.0,0.878721,6,0.0,3,0.104844,1,5.0,23,0,0,0,0,0,0,0,0,0,0,0,1
95,104,130.0,0.0,0.548987,2,0.0,2,0.422146,1,3.0,23,1,0,0,0,0,0,0,0,0,0,1,0
96,105,258.0,0.0,0.959213,4,0.0,2,0.944949,1,5.0,28,0,0,0,1,0,0,0,0,0,0,0,0
97,106,140.0,0.0,0.521566,2,0.0,1,0.461044,1,3.0,47,0,1,0,0,0,0,0,0,0,0,1,0
98,107,281.0,0.0,0.99766,6,0.0,2,0.107146,1,4.0,31,1,1,0,0,0,0,1,0,0,0,0,0
99,108,156.0,0.0,0.528929,2,0.0,3,0.312928,1,3.0,24,1,0,0,0,1,0,0,0,0,0,0,0
100,110,223.0,0.0,0.837597,5,0.0,1,0.738441,1,5.0,23,1,0,0,0,0,0,0,0,0,0,0,1
101,111,147.0,0.0,0.452001,2,0.0,1,0.34499,1,3.0,51,0,1,0,0,0,0,0,0,0,0,1,0
102,112,148.0,0.0,0.533172,2,0.0,1,0.36142,1,3.0,23,0,0,0,0,0,0,0,0,0,0,0,1
103,113,246.0,0.0,0.944761,4,0.0,1,0.928173,1,5.0,22,1,0,0,0,0,0,0,0,0,0,0,1
104,114,310.0,0.0,0.524456,5,0.0,2,0.414488,1,3.0,24,1,0,0,0,0,0,0,0,1,0,0,0
105,115,137.0,0.0,0.499013,2,0.0,2,0.504321,1,3.0,23,1,0,0,1,0,0,0,0,0,0,0,0
106,116,303.0,0.0,0.866422,5,0.0,2,0.0609863,1,5.0,22,1,0,0,0,1,0,0,0,0,0,0,0
107,117,151.0,0.0,0.522235,2,0.0,1,0.421082,1,3.0,25,1,0,0,0,0,0,1,0,0,0,0,0
108,118,150.0,0.0,0.531091,2,0.0,1,0.429583,1,3.0,24,1,0,0,0,0,0,0,0,0,0,1,0
109,119,239.0,0.0,0.82423,4,0.0,1,0.776066,1,6.0,25,1,0,0,0,0,1,0,0,0,0,0,0
110,121,279.0,0.0,0.807814,6,0.0,1,0.126932,1,4.0,46,1,1,0,0,0,0,0,0,0,0,0,1
111,122,127.0,0.0,0.516111,2,0.0,1,0.357358,1,3.0,22,1,0,0,0,0,1,0,0,0,0,0,0
112,123,136.0,0.0,0.48096,2,0.0,2,0.401807,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
113,124,274.0,0.0,0.574151,2,0.0,1,0.732505,1,4.0,22,0,0,0,0,0,0,0,0,0,0,0,1
114,125,156.0,1.0,0.498253,2,0.0,1,0.453624,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
115,126,261.0,0.0,0.878444,6,0.0,2,0.101731,1,4.0,32,1,1,0,0,0,1,0,0,0,0,0,0
116,127,136.0,0.0,0.53546,2,0.0,1,0.487851,1,3.0,22,1,0,0,0,0,0,0,0,0,0,0,1
117,128,287.0,0.0,0.918562,6,0.0,1,0.142113,1,4.0,39,1,1,0,1,0,0,0,0,0,0,0,0
118,129,218.0,1.0,0.85036,4,0.0,1,0.822958,1,5.0,39,0,1,0,0,0,1,0,0,0,0,0,0
119,131,305.0,0.0,0.881748,7,0.0,2,0.139059,1,4.0,37,1,1,0,1,0,0,0,0,0,0,0,0
120,132,291.0,0.0,0.819279,6,0.0,1,0.101794,1,4.0,47,1,1,0,0,0,0,0,0,0,0,0,1
121,133,246.0,0.0,0.88409,6,0.0,2,0.131505,1,4.0,34,1,1,0,0,0,0,0,0,0,0,0,0
122,134,243.0,0.0,0.923938,6,0.0,3,0.154765,1,4.0,33,1,1,0,0,0,0,0,0,1,0,0,0
123,135,256.0,0.0,0.962934,6,0.0,1,0.0798577,1,4.0,30,1,1,0,0,0,0,0,0,0,0,1,0
124,136,228.0,0.0,0.968112,5,0.0,1,0.75621,1,5.0,23,1,0,0,0,0,0,0,0,0,0,1,0
125,137,283.0,0.0,0.789851,7,0.0,1,0.128018,1,5.0,34,0,1,0,1,0,0,0,0,0,0,0,0
126,138,242.0,0.0,0.846659,5,0.0,2,0.772121,1,5.0,29,0,0,0,0,0,0,0,0,0,0,1,0
127,139,245.0,0.0,0.885296,5,0.0,1,0.817257,1,5.0,23,1,0,0,1,0,0,0,0,0,0,0,0
128,140,260.0,0.0,0.876539,5,0.0,2,0.872302,1,5.0,25,1,0,0,0,0,1,0,0,0,0,0,0
129,141,192.0,0.0,0.551225,7,0.0,1,0.210584,1,3.0,46,1,1,0,0,0,0,0,0,0,0,0,1
130,142,158.0,0.0,0.547159,2,0.0,1,0.358773,1,3.0,51,0,1,0,0,0,0,0,0,0,0,1,0
131,143,306.0,0.0,0.893635,6,0.0,1,0.166866,1,4.0,27,0,0,0,1,0,0,0,0,0,0,0,0
132,144,154.0,0.0,0.889985,3,0.0,2,0.401073,1,4.0,23,1,0,0,1,0,0,0,0,0,0,0,0
133,145,298.0,0.0,0.888568,6,0.0,1,0.14453,1,4.0,46,0,1,0,0,0,0,0,0,0,0,0,1
134,146,285.0,0.0,0.931751,7,0.0,1,0.0737981,1,4.0,41,1,1,0,0,0,1,0,0,0,0,0,0
135,147,260.0,0.0,0.895906,5,0.0,1,0.867948,1,5.0,23,1,0,0,0,0,0,0,0,0,0,1,0
136,149,156.0,0.0,0.419956,2,0.0,1,0.38645,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
137,150,147.0,0.0,0.582465,2,0.0,1,0.442294,1,3.0,23,1,0,0,0,0,0,0,0,0,0,1,0
138,151,247.0,0.0,0.876086,5,0.0,1,0.83846,1,5.0,23,1,0,0,1,0,0,0,0,0,0,0,0
139,152,246.0,1.0,0.855755,5,0.0,2,0.830533,1,5.0,26,0,0,0,0,0,0,0,0,0,0,0,1
140,153,216.0,0.0,1.0,4,0.0,1,0.753578,1,6.0,24,1,0,0,1,0,0,0,0,0,0,0,0
141,154,140.0,0.0,0.530962,2,0.0,2,0.43994,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,0
142,155,247.0,0.0,0.942873,7,0.0,2,0.144449,1,4.0,51,1,1,0,0,0,0,0,0,0,0,0,1
143,156,280.0,0.0,0.630177,2,0.0,1,0.327048,1,4.0,24,1,0,0,1,0,0,0,0,0,0,0,0
144,157,265.0,0.0,0.792833,4,0.0,1,0.920042,1,6.0,25,1,0,0,0,0,0,0,0,0,0,0,1
145,158,128.0,0.0,0.498708,2,0.0,2,0.423624,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
146,159,255.0,0.0,0.894924,7,0.0,2,0.17525,1,4.0,31,1,1,0,0,0,0,0,0,0,0,1,0
147,160,263.0,0.0,1.0,4,0.0,2,0.829606,1,6.0,22,1,0,0,1,0,0,0,0,0,0,0,0
148,161,255.0,0.0,0.930584,7,0.0,2,0.0806184,1,4.0,40,1,1,0,0,0,0,0,0,0,0,1,0
149,162,132.0,0.0,0.477055,2,0.0,2,0.495775,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
150,163,136.0,0.0,0.529917,2,0.0,1,0.377291,1,3.0,23,1,0,0,1,0,0,0,0,0,0,0,0
151,164,141.0,1.0,0.462154,2,0.0,1,0.466326,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
152,165,131.0,0.0,0.485783,2,0.0,1,0.349181,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
153,166,296.0,0.0,0.885543,7,0.0,2,0.09247,1,4.0,28,1,1,0,1,0,0,0,0,0,0,0,0
154,168,258.0,0.0,0.967462,2,0.0,1,0.667322,1,5.0,22,1,0,0,0,0,0,0,0,0,0,0,1
155,169,159.0,0.0,0.544412,2,0.0,2,0.422724,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
156,170,129.0,0.0,0.558944,2,0.0,2,0.469451,1,3.0,24,1,0,0,1,0,0,0,0,0,0,0,0
157,171,276.0,0.0,0.752432,5,0.0,1,0.115195,1,4.0,22,1,0,0,0,0,0,0,0,0,0,1,0
158,172,139.0,0.0,0.585351,2,0.0,1,0.475075,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
159,174,130.0,0.0,0.484567,2,0.0,1,0.455295,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
160,175,285.0,0.0,0.901575,6,0.0,1,0.131683,1,4.0,46,1,1,0,1,0,0,0,0,0,0,0,0
161,176,285.0,0.0,0.754973,6,0.0,2,0.0904151,1,4.0,50,1,1,0,0,1,0,0,0,0,0,0,0
162,177,309.0,0.0,0.876306,6,0.0,2,0.101742,1,4.0,36,1,1,0,0,0,0,0,0,0,0,0,1
163,178,263.0,0.0,0.887814,4,0.0,1,0.773491,1,5.0,22,1,0,0,0,0,0,0,0,0,0,1,0
164,179,276.0,0.0,0.902899,6,0.0,1,0.0961399,1,4.0,33,1,1,0,0,0,0,0,0,0,0,0,1
165,180,285.0,0.0,0.797767,7,0.0,2,0.125959,1,4.0,42,0,1,0,0,0,1,0,0,0,0,0,0
166,181,155.0,0.0,0.525671,2,0.0,1,0.381088,1,3.0,23,1,0,0,0,0,1,0,0,0,0,0,0
167,182,299.0,1.0,0.819308,6,0.0,1,0.129074,1,4.0,36,1,1,0,0,0,0,0,0,0,0,0,1
168,183,158.0,0.0,0.543576,2,0.0,1,0.35252,1,3.0,23,1,0,0,0,0,0,0,0,0,0,1,0
169,184,270.0,0.0,0.855482,4,0.0,1,0.884897,1,5.0,24,1,0,0,0,0,0,0,0,0,0,0,1
170,185,278.0,0.0,0.949239,6,0.0,1,0.0938494,1,4.0,50,1,1,0,0,0,0,0,1,0,0,0,0
171,186,143.0,0.0,0.509272,2,0.0,2,0.429593,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,0
172,187,282.0,0.0,0.676745,2,0.0,1,0.356162,1,5.0,25,1,0,0,0,0,0,0,1,0,0,0,0
173,188,247.0,0.0,0.516293,2,0.0,2,0.0597921,1,4.0,39,0,1,0,0,0,0,0,0,0,0,0,1
174,189,158.0,0.0,0.554521,2,0.0,1,0.365284,1,3.0,38,0,1,0,0,0,0,0,0,0,0,0,1
175,191,151.0,0.0,0.458269,2,0.0,2,0.381992,1,3.0,23,1,0,1,0,0,0,0,0,0,0,0,0
176,192,247.0,0.0,0.84342,4,0.0,1,0.813122,1,6.0,22,1,0,0,1,0,0,0,0,0,0,0,0
177,193,255.0,0.0,0.86191,6,0.0,1,0.135853,1,4.0,40,0,1,0,0,0,0,0,0,0,0,0,1
178,194,241.0,0.0,0.972069,5,0.0,2,0.786684,1,5.0,25,1,0,0,0,0,0,0,0,0,0,0,1
179,195,143.0,0.0,0.561972,2,0.0,1,0.415942,1,3.0,24,1,0,0,0,0,0,0,0,0,0,0,1
180,196,290.0,0.0,0.896066,7,0.0,1,0.101141,1,4.0,44,1,1,0,0,0,0,0,0,0,0,0,1
181,197,290.0,0.0,0.755191,7,0.0,1,0.080867,1,4.0,43,1,1,0,0,0,0,1,0,0,0,0,0
182,198,267.0,0.0,0.828781,5,0.0,1,0.789816,1,5.0,25,1,0,0,0,0,0,0,0,0,0,1,0
183,199,156.0,1.0,0.414742,2,0.0,1,0.361317,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
184,201,160.0,0.0,0.600898,2,0.0,2,0.40791,1,3.0,24,1,0,0,1,0,0,0,0,0,0,0,0
185,202,232.0,0.0,0.960754,4,0.0,1,0.884619,1,5.0,22,1,0,0,0,0,0,0,0,0,0,0,1
186,203,141.0,1.0,0.503339,2,0.0,1,0.501475,1,3.0,22,1,0,0,0,0,0,0,0,0,0,0,1
187,204,139.0,0.0,0.533964,2,0.0,1,0.385363,1,3.0,43,0,1,0,0,0,0,0,1,0,0,0,0
188,205,160.0,0.0,0.480823,2,0.0,1,0.398427,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
189,206,258.0,0.0,0.950414,2,0.0,1,0.652081,1,5.0,23,1,0,0,0,0,0,0,0,0,0,0,1
190,207,268.0,0.0,0.953886,6,0.0,1,0.169063,1,4.0,41,1,1,0,0,0,0,0,0,0,0,1,0
191,208,134.0,0.0,0.526204,2,0.0,1,0.388992,1,3.0,22,0,0,0,0,0,0,0,0,0,0,1,0
192,210,136.0,0.0,0.786735,5,0.0,1,0.0878727,1,2.0,22,1,0,0,1,0,0,0,0,0,0,0,0
193,211,137.0,0.0,0.543217,2,0.0,2,0.44207,1,3.0,24,1,0,0,0,0,1,0,0,0,0,0,0
194,212,144.0,0.0,0.458964,2,0.0,2,0.382781,1,3.0,22,1,0,0,0,0,0,0,0,0,0,0,0
195,213,157.0,0.0,0.503556,2,0.0,1,0.328297,1,3.0,22,1,0,0,0,0,0,0,0,0,0,0,1
196,214,280.0,0.0,0.839185,6,0.0,1,0.0702263,1,4.0,46,1,1,0,1,0,0,0,0,0,0,0,0
197,215,264.0,0.0,0.96353,5,0.0,2,0.74303,1,5.0,25,1,0,0,1,0,0,0,0,0,0,0,0
198,216,137.0,0.0,0.526296,2,0.0,2,0.455517,1,3.0,23,1,0,0,0,1,0,0,0,0,0,0,0
199,217,149.0,0.0,0.515149,2,0.0,3,0.42107,1,3.0,53,0,1,0,0,0,0,0,0,1,0,0,0
200,218,291.0,0.0,0.876973,6,0.0,1,0.0668486,1,4.0,41,1,1,0,0,0,0,0,0,1,0,0,0
201,219,254.0,0.0,0.547034,4,0.0,1,0.505422,1,4.0,24,1,0,0,0,0,0,0,0,0,0,0,1
202,220,158.0,0.0,0.512585,2,0.0,1,0.371049,1,3.0,25,1,0,0,0,0,0,0,0,0,0,0,1
203,221,138.0,0.0,0.520361,2,0.0,2,0.403928,1,3.0,25,1,0,0,0,0,0,0,1,0,0,0,0
204,222,153.0,0.0,0.536117,2,0.0,1,0.36667,1,3.0,43,1,1,0,0,0,0,0,0,0,0,1,0
205,223,278.0,0.0,0.815264,6,0.0,3,0.0792939,1,4.0,41,1,1,0,1,0,0,0,0,0,0,0,0
206,224,159.0,0.0,0.597303,2,0.0,2,0.417487,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
207,225,154.0,0.0,0.607358,2,0.0,1,0.417173,1,3.0,23,1,0,0,0,0,0,0,0,0,0,0,1
208,226,310.0,0.0,0.732204,6,0.0,1,0.111914,1,4.0,23,0,0,0,0,0,0,0,0,0,0,0,0
209,227,156.0,0.0,0.454041,2,0.0,2,0.400145,1,3.0,22,1,0,0,0,0,0,1,0,0,0,0,0
210,228,280.0,0.0,0.957407,6,0.0,1,0.158427,1,4.0,37,0,1,0,0,0,0,0,0,0,0,1,0
211,229,249.0,0.0,0.697713,3,0.0,2,0.781751,1,5.0,50,0,1,0,0,0,0,0,1,0,0,0,0
212,230,224.0,0.0,0.469179,7,0.0,2,0.19819,1,5.0,39,1,1,0,0,1,0,0,0,0,0,0,0
213,231,160.0,0.0,0.426595,2,0.0,2,0.3736,1,3.0,24,1,0,0,0,0,0,0,1,0,0,0,0
214,232,273.0,0.0,0.850542,4,0.0,1,0.811183,1,5.0,24,1,0,0,0,0,0,1,0,0,0,0,0
215,233,143.0,0.0,0.562405,2,0.0,2,0.420525,1,3.0,25,1,0,0,1,0,0,0,0,0,0,0,0
216,234,298.0,0.0,0.965138,6,0.0,1,0.0946862,1,4.0,26,0,0,0,0,0,0,0,0,0,0,0,1
217,235,239.0,0.0,1.0,5,0.0,1,0.843067,1,6.0,24,1,0,0,0,0,0,0,1,0,0,0,0
218,236,251.0,0.0,0.944582,4,0.0,2,0.829317,1,5.0,25,1,0,0,0,0,0,0,1,0,0,0,0
219,237,160.0,0.0,0.492099,2,0.0,1,0.363487,1,3.0,28,1,1,0,0,0,0,0,0,0,0,0,1
